title,price_text,price,odometer_text,odometer_km,detail_url,network_id,card_id,inventory_year_filter,inventory_make_filter,inventory_model_filter,search_url,verified_at,detail_date,first_image_url,detail_page_title,carbarn_evidence,in_date_range,updated_at,all_image_urls,body_type,car_code,dealer_stock_id,dealer_stock_ids,fuel,image_count,match_reason,match_score,match_status,matched_chassis,matched_stock_no,mismatch_count,mismatch_fields,mismatch_messages,photo_count,registration_plate,transmission,vin
2017 Honda Odyssey Hybrid Absolute Auto,"$28,900",28900,"69,040km",69040,https://www.carsales.com.au/cars/details/2017-honda-odyssey-hybrid-absolute-auto/OAG-AD-25744498/,OAG-AD-25744498,OAG-AD-25744498,2017,HONDA,Odyssey,,2026-04-30T08:27:09,,https://carsales.pxcrush.net/carsales/car/dealer/btil99wxs3u6bcfm2wtafa2tq.jpg?pxc_format=jpeg&pxc_size=1200%2C630,2017 Honda Odyssey Hybrid Absolute Auto,stock_tail4_match:1043,,2026-04-30T08:27:09,"[""https://carsales.pxcrush.net/carsales/car/dealer/btil99wxs3u6bcfm2wtafa2tq.jpg?pxc_format=jpeg&pxc_size=1200%2C630""]",People Mover,1219,20171043,20171043,Hybrid,1,stock_tail4_match:1043,100.0,identified,RC4-1029909,1043,0,,,23,Check with seller,Automatic,6ZZH000RC41029909
2017 Mercedes-Benz E-Class E43 AMG Auto 4MATIC,"$52,900",52900,"59,222km",59222,https://www.carsales.com.au/cars/details/2017-mercedes-benz-e-class-e43-amg-auto-4matic/OAG-AD-25653306/,OAG-AD-25653306,OAG-AD-25653306,2017,MERCEDES-BENZ,E-Class,,2026-04-30T08:27:09,,https://carsales.pxcrush.net/carsales/cars/dealer/3blqygm1ex38rjidjzuo0bz2g.jpg?pxc_format=jpeg&pxc_size=1200%2C630,2017 Mercedes-Benz E-Class E43 AMG Auto 4MATIC,stock_tail4_match:1039,,2026-04-30T08:27:09,"[""https://carsales.pxcrush.net/carsales/cars/dealer/3blqygm1ex38rjidjzuo0bz2g.jpg?pxc_format=jpeg&pxc_size=1200%2C630""]",Wagon,1202,20171039,20171039,Petrol,1,stock_tail4_match:1039,100.0,identified,WDD2132642A333293,1039,1,odometer,"Odometer mismatch: Carsales 59,222km vs Carbarn 59,230km",33,Check with seller,Automatic,WDD2132642A333293
2016 Mercedes-Benz E-Class E400 Auto 4MATIC,"$34,900",34900,"60,000km",60000,https://www.carsales.com.au/cars/details/2016-mercedes-benz-e-class-e400-auto-4matic/OAG-AD-25780115/,OAG-AD-25780115,OAG-AD-25780115,2016,MERCEDES-BENZ,E-Class,,2026-04-30T08:27:09,,https://carsales.pxcrush.net/carsales/car/dealer/1ici3de71znpxasvjuqec71vp.jpg?pxc_format=jpeg&pxc_size=1200%2C630,2016 Mercedes-Benz E-Class E400 Auto 4MATIC,stock_tail4_match:1076,,2026-04-30T08:27:09,"[""https://carsales.pxcrush.net/carsales/car/dealer/1ici3de71znpxasvjuqec71vp.jpg?pxc_format=jpeg&pxc_size=1200%2C630""]",Wagon,1336,20161076,20161076,Petrol,1,stock_tail4_match:1076,100.0,identified,WDD2132712A176208,1076,0,,,6,Check with seller,Automatic,WDD2132712A176208
1995 Mitsubishi GTO Auto 4WD,"$33,900",33900,"18,052km",18052,https://www.carsales.com.au/cars/details/1995-mitsubishi-gto-auto-4wd/OAG-AD-25521014/,OAG-AD-25521014,OAG-AD-25521014,1995,MITSUBISHI,GTO,,2026-04-30T08:27:09,,https://carsales.pxcrush.net/carsales/car/dealer/c2ai4nksf5y7w8dcs7ogw324b.jpg?pxc_format=jpeg&pxc_size=1200%2C630,1995 Mitsubishi GTO Auto 4WD,stock_tail4_match:1018,,2026-04-30T08:27:09,"[""https://carsales.pxcrush.net/carsales/car/dealer/c2ai4nksf5y7w8dcs7ogw324b.jpg?pxc_format=jpeg&pxc_size=1200%2C630""]",Coupe,1190,19951018,19951018,Petrol,1,stock_tail4_match:1018,100.0,identified,Z16A-0100673,1018,0,,,23,Check with seller,Automatic,6ZZS00Z16A0100673
1997 Mitsubishi Delica Spacegear Exceed PE8W Auto 4x4,"$17,400",17400,"171,718km",171718,https://www.carsales.com.au/cars/details/1997-mitsubishi-delica-spacegear-exceed-pe8w-auto-4x4/OAG-AD-25649682/,OAG-AD-25649682,OAG-AD-25649682,1997,MITSUBISHI,Delica,,2026-04-30T08:27:09,,https://carsales.pxcrush.net/carsales/car/dealer/5l8cb5ujue1ridzf20euamfqn.jpg?pxc_format=jpeg&pxc_size=1200%2C630,1997 Mitsubishi Delica Spacegear Exceed PE8W Auto 4x4,stock_tail4_match:1032,,2026-04-30T08:27:09,"[""https://carsales.pxcrush.net/carsales/car/dealer/5l8cb5ujue1ridzf20euamfqn.jpg?pxc_format=jpeg&pxc_size=1200%2C630""]",People Mover,1332,19971032,19971032,Diesel,1,stock_tail4_match:1032,100.0,identified,PE8W-0213867,1032,0,,,20,Check with seller,Automatic,6ZZV00PE8W0213867
2023 Nissan Aura G FE13 Auto,"$31,900",31900,"24,830km",24830,https://www.carsales.com.au/cars/details/2023-nissan-aura-g-fe13-auto/OAG-AD-25705491/,OAG-AD-25705491,OAG-AD-25705491,2023,NISSAN,AURA,,2026-04-30T08:27:09,,https://carsales.pxcrush.net/carsales/car/dealer/jacc50w49yedvwcl446o18y3.jpg?pxc_format=jpeg&pxc_size=1200%2C630,2023 Nissan Aura G FE13 Auto,stock_tail4_match:1028,,2026-04-30T08:27:09,"[""https://carsales.pxcrush.net/carsales/car/dealer/jacc50w49yedvwcl446o18y3.jpg?pxc_format=jpeg&pxc_size=1200%2C630""]",Hatch,1229,20231028,20231028,Hybrid,1,stock_tail4_match:1028,100.0,identified,FE13-370242,1028,0,,,25,Check with seller,Automatic,6ZZP000FE13370242
2023 Nissan Aura G FE13 Auto,"$31,400",31400,"6,241km",6241,https://www.carsales.com.au/cars/details/2023-nissan-aura-g-fe13-auto/OAG-AD-25649687/,OAG-AD-25649687,OAG-AD-25649687,2023,NISSAN,AURA,,2026-04-30T08:27:09,,https://carsales.pxcrush.net/carsales/cars/dealer/60140c49vxqz9bni7iyx9u4tx.jpg?pxc_format=jpeg&pxc_size=1200%2C630,2023 Nissan Aura G FE13 Auto,stock_tail4_match:1027,,2026-04-30T08:27:09,"[""https://carsales.pxcrush.net/carsales/cars/dealer/60140c49vxqz9bni7iyx9u4tx.jpg?pxc_format=jpeg&pxc_size=1200%2C630""]",Hatch,1267,20231027,20231027,Hybrid,1,stock_tail4_match:1027,100.0,identified,FE13-303732,1027,1,odometer,"Odometer mismatch: Carsales 6,241km vs Carbarn 6,268km",23,Check with seller,Automatic,6ZZP000FE13303732
2022 Nissan Serena X C27 Auto,"$27,900",27900,"51,829km",51829,https://www.carsales.com.au/cars/details/2022-nissan-serena-x-c27-auto/OAG-AD-25705790/,OAG-AD-25705790,OAG-AD-25705790,2022,NISSAN,Serena,,2026-04-30T08:27:09,,https://carsales.pxcrush.net/carsales/cars/dealer/dzgpopgq7dtoyunalx8x5ggbn.jpg?pxc_format=jpeg&pxc_size=1200%2C630,2022 Nissan Serena X C27 Auto,stock_tail4_match:1059,,2026-04-30T08:27:09,"[""https://carsales.pxcrush.net/carsales/cars/dealer/dzgpopgq7dtoyunalx8x5ggbn.jpg?pxc_format=jpeg&pxc_size=1200%2C630""]",Wagon,1284,20221059,20221059,Petrol,1,stock_tail4_match:1059,100.0,identified,GC27-073541,1059,0,,,23,Check with seller,Automatic,6ZZN000GC27073541
2021 Nissan Serena Highway Star S-Hybrid C27 Auto,"$31,900",31900,"26,000km",26000,https://www.carsales.com.au/cars/details/2021-nissan-serena-highway-star-s-hybrid-c27-auto/OAG-AD-25780113/,OAG-AD-25780113,OAG-AD-25780113,2021,NISSAN,Serena,,2026-04-30T08:27:09,,https://carsales.pxcrush.net/carsales/car/dealer/6fmivi8khwwbnsx6hfbwqmn9g.jpg?pxc_format=jpeg&pxc_size=1200%2C630,2021 Nissan Serena Highway Star S-Hybrid C27 Auto,stock_tail4_match:1072,,2026-04-30T08:27:09,"[""https://carsales.pxcrush.net/carsales/car/dealer/6fmivi8khwwbnsx6hfbwqmn9g.jpg?pxc_format=jpeg&pxc_size=1200%2C630""]",Wagon,1335,20211072,20211072,Petrol,1,stock_tail4_match:1072,100.0,identified,GFC27-224929,1072,0,,,6,Check with seller,Automatic,6ZZM00GFC27224929
2009 Subaru Impreza WRX STI A Line GRF Auto AWD,"$22,400",22400,"83,499km",83499,https://www.carsales.com.au/cars/details/2009-subaru-impreza-wrx-sti-a-line-grf-auto-awd/OAG-AD-25705794/,OAG-AD-25705794,OAG-AD-25705794,2009,SUBARU,Impreza,,2026-04-30T08:27:09,,https://carsales.pxcrush.net/carsales/car/dealer/ffceecdb8c0742e192ce7bfd244383a3.jpg?pxc_format=jpeg&pxc_size=1200%2C630,2009 Subaru Impreza WRX STI A Line GRF Auto AWD,stock_tail4_match:1065,,2026-04-30T08:27:09,"[""https://carsales.pxcrush.net/carsales/car/dealer/ffceecdb8c0742e192ce7bfd244383a3.jpg?pxc_format=jpeg&pxc_size=1200%2C630""]",Hatch,1230,20091065,20091065,Petrol,1,stock_tail4_match:1065,100.0,identified,GRF-003705,1065,0,,,27,Check with seller,Automatic,6ZZ90000GRF003705
