title,price_text,price,odometer_text,odometer_km,detail_url,network_id,card_id,inventory_year_filter,inventory_make_filter,inventory_model_filter,search_url,verified_at,detail_date,first_image_url,detail_page_title,carbarn_evidence,in_date_range,updated_at,dealer_stock_id,dealer_stock_ids,car_code,photo_count,all_image_urls,image_count,vin,registration_plate,body_type,fuel,transmission,matched_stock_no,matched_chassis,match_score,match_reason,match_status,mismatch_count,mismatch_fields,mismatch_messages
2024 Suzuki Jimny XC Auto 4x4,"$31,400",31400,472km,472,https://www.carsales.com.au/cars/details/2024-suzuki-jimny-xc-auto-4x4/OAG-AD-25744493/,OAG-AD-25744493,OAG-AD-25744493,2024,SUZUKI,JIMNY,,2026-05-01T10:38:40,,https://carsales.pxcrush.net/carsales/car/dealer/9oxulqdp4879fvwjsupbypkwx.jpg?pxc_format=jpeg&pxc_size=1200%2C630,2024 Suzuki Jimny XC Auto 4x4,stock_tail4_match:1073,,2026-05-01T10:38:40,20241073,20241073,1330,23,"[""https://carsales.pxcrush.net/carsales/car/dealer/9oxulqdp4879fvwjsupbypkwx.jpg?pxc_format=jpeg&pxc_size=1200%2C630""]",1,6ZZR00JB64W327198,Check with seller,SUV,Petrol,Automatic,1073,JB64W-327198,100.0,stock_tail4_match:1073,identified,0,,
2024 Toyota Prius Z Auto 4WD,"$43,900",43900,"6,000km",6000,https://www.carsales.com.au/cars/details/2024-toyota-prius-z-auto-4wd/OAG-AD-25649699/,OAG-AD-25649699,OAG-AD-25649699,2024,TOYOTA,Prius,,2026-05-01T10:38:40,,https://carsales.pxcrush.net/carsales/cars/dealer/cezvxudmd1phmocokpdgcf22l.jpg?pxc_format=jpeg&pxc_size=1200%2C630,2024 Toyota Prius Z Auto 4WD,stock_tail4_match:1029,,2026-05-01T10:38:40,20241029,20241029,1307,25,"[""https://carsales.pxcrush.net/carsales/cars/dealer/cezvxudmd1phmocokpdgcf22l.jpg?pxc_format=jpeg&pxc_size=1200%2C630""]",1,6ZZRMXWH654019630,Check with seller,Hatch,Hybrid,Automatic,1029,MXWH65-4019630,100.0,stock_tail4_match:1029,identified,1,odometer,"Odometer mismatch: Carsales 6,000km vs Carbarn 5,881km"
2009 Toyota Hiace DX LWB Auto 4WD,"$26,900",26900,"173,000km",173000,https://www.carsales.com.au/cars/details/2009-toyota-hiace-dx-lwb-auto-4wd/OAG-AD-25744492/,OAG-AD-25744492,OAG-AD-25744492,2009,TOYOTA,Hiace,,2026-05-01T10:38:40,,https://carsales.pxcrush.net/carsales/car/dealer/12vbcb4tmxfun5dn6it0xfdpa.jpg?pxc_format=jpeg&pxc_size=1200%2C630,2009 Toyota Hiace DX LWB Auto 4WD,stock_tail4_match:1009,,2026-05-01T10:38:40,20091009,20091009,1253,6,"[""https://carsales.pxcrush.net/carsales/car/dealer/12vbcb4tmxfun5dn6it0xfdpa.jpg?pxc_format=jpeg&pxc_size=1200%2C630""]",1,6ZZ9KDH2068020379,Check with seller,Van,Diesel,Automatic,1009,KDH206-8020379,100.0,stock_tail4_match:1009,identified,0,,
2022 Toyota Yaris X Hybrid Auto eFour,"$24,900",24900,"61,270km",61270,https://www.carsales.com.au/cars/details/2022-toyota-yaris-x-hybrid-auto-efour/OAG-AD-25649683/,OAG-AD-25649683,OAG-AD-25649683,2022,TOYOTA,YARIS,,2026-05-01T10:38:40,,https://carsales.pxcrush.net/carsales/car/dealer/7rprz3h8qs3ebfe0d66vapww2.jpg?pxc_format=jpeg&pxc_size=1200%2C630,2022 Toyota Yaris X Hybrid Auto eFour,stock_tail4_match:1042,,2026-05-01T10:38:40,20221042,20221042,1311,27,"[""https://carsales.pxcrush.net/carsales/car/dealer/7rprz3h8qs3ebfe0d66vapww2.jpg?pxc_format=jpeg&pxc_size=1200%2C630""]",1,6ZZNMXPH150018516,Check with seller,Hatch,Hybrid,Automatic,1042,MXPH15-0018516,100.0,stock_tail4_match:1042,identified,0,,
2014 Toyota Alphard 240S Type Gold II Auto,"$22,900",22900,"80,000km",80000,https://www.carsales.com.au/cars/details/2014-toyota-alphard-240s-type-gold-ii-auto/OAG-AD-25709367/,OAG-AD-25709367,OAG-AD-25709367,2014,TOYOTA,Alphard,,2026-05-01T10:38:40,,https://carsales.pxcrush.net/carsales/car/dealer/7zg99zhz31mus6o1n8tnec5ob.jpg?pxc_format=jpeg&pxc_size=1200%2C630,2014 Toyota Alphard 240S Type Gold II Auto,stock_tail4_match:1046,,2026-05-01T10:38:40,20141046,20141046,1321,26,"[""https://carsales.pxcrush.net/carsales/car/dealer/7zg99zhz31mus6o1n8tnec5ob.jpg?pxc_format=jpeg&pxc_size=1200%2C630""]",1,6ZZE0ANH208355680,Check with seller,People Mover,Petrol,Automatic,1046,ANH20-8355680,100.0,stock_tail4_match:1046,identified,0,,
2014 Toyota Alphard Auto,"$21,900",21900,"69,000km",69000,https://www.carsales.com.au/cars/details/2014-toyota-alphard-auto/OAG-AD-25780101/,OAG-AD-25780101,OAG-AD-25780101,2014,TOYOTA,Vellfire,,2026-05-01T10:38:40,,https://carsales.pxcrush.net/carsales/car/dealer/70eqqpd1cllf5djupw2963ude.jpg?pxc_format=jpeg&pxc_size=1200%2C630,2014 Toyota Alphard Auto,stock_tail4_match:1040,,2026-05-01T10:38:40,20141040,20141040,1291,5,"[""https://carsales.pxcrush.net/carsales/car/dealer/70eqqpd1cllf5djupw2963ude.jpg?pxc_format=jpeg&pxc_size=1200%2C630""]",1,6ZZE0ANH208323267,Check with seller,People Mover,Petrol,Automatic,1040,ANH20-8323267,100.0,stock_tail4_match:1040,identified,0,,
2013 Toyota Alphard 240S Type Gold Auto,"$22,900",22900,"67,593km",67593,https://www.carsales.com.au/cars/details/2013-toyota-alphard-240s-type-gold-auto/OAG-AD-25709368/,OAG-AD-25709368,OAG-AD-25709368,2013,TOYOTA,Alphard,,2026-05-01T10:38:40,,https://carsales.pxcrush.net/carsales/car/dealer/awdxan0nba2l7q4h7wun7myja.jpg?pxc_format=jpeg&pxc_size=1200%2C630,2013 Toyota Alphard 240S Type Gold Auto,stock_tail4_match:1045,,2026-05-01T10:38:40,20131045,20131045,1322,22,"[""https://carsales.pxcrush.net/carsales/car/dealer/awdxan0nba2l7q4h7wun7myja.jpg?pxc_format=jpeg&pxc_size=1200%2C630""]",1,6ZZD0ANH208265684,Check with seller,People Mover,Petrol,Automatic,1045,ANH20-8265684,100.0,stock_tail4_match:1045,identified,0,,
2020 Toyota Noah Hybrid SI Auto,"$38,400",38400,"28,000km",28000,https://www.carsales.com.au/cars/details/2020-toyota-noah-hybrid-si-auto/OAG-AD-25709542/,OAG-AD-25709542,OAG-AD-25709542,2020,TOYOTA,Noah,,2026-05-01T10:38:40,,https://carsales.pxcrush.net/carsales/car/dealer/304dx575ndwp7zh4ph1r97s98.jpg?pxc_format=jpeg&pxc_size=1200%2C630,2020 Toyota Noah Hybrid SI Auto,stock_tail4_match:1064,,2026-05-01T10:38:40,20201064,20201064,1326,23,"[""https://carsales.pxcrush.net/carsales/car/dealer/304dx575ndwp7zh4ph1r97s98.jpg?pxc_format=jpeg&pxc_size=1200%2C630""]",1,6ZZL0ZWR800474507,Check with seller,People Mover,Hybrid,Automatic,1064,ZWR80-0474507,100.0,stock_tail4_match:1064,identified,1,odometer,"Odometer mismatch: Carsales 28,000km vs Carbarn 27,955km"
2020 Toyota Noah Hybrid SI Auto,"$29,900",29900,"79,910km",79910,https://www.carsales.com.au/cars/details/2020-toyota-noah-hybrid-si-auto/OAG-AD-25705795/,OAG-AD-25705795,OAG-AD-25705795,2020,TOYOTA,Noah,,2026-05-01T10:38:40,,https://carsales.pxcrush.net/carsales/car/dealer/9yh53cwf7i1tfzwyr9e1rxwko.jpg?pxc_format=jpeg&pxc_size=1200%2C630,2020 Toyota Noah Hybrid SI Auto,stock_tail4_match:1063,,2026-05-01T10:38:40,20201063,20201063,1331,27,"[""https://carsales.pxcrush.net/carsales/car/dealer/9yh53cwf7i1tfzwyr9e1rxwko.jpg?pxc_format=jpeg&pxc_size=1200%2C630""]",1,6ZZL0ZWR800475693,Check with seller,People Mover,Hybrid,Automatic,1063,ZWR80-0475693,100.0,stock_tail4_match:1063,identified,0,,
2024 Toyota Yaris X Hybrid Auto eFour,"$25,900",25900,"38,000km",38000,https://www.carsales.com.au/cars/details/2024-toyota-yaris-x-hybrid-auto-efour/OAG-AD-25780106/,OAG-AD-25780106,OAG-AD-25780106,2024,TOYOTA,YARIS,,2026-05-01T10:38:40,,https://carsales.pxcrush.net/carsales/car/dealer/2lsim34ub2jlbqnml961i524n.jpg?pxc_format=jpeg&pxc_size=1200%2C630,2024 Toyota Yaris X Hybrid Auto eFour,stock_tail4_match:1098,,2026-05-01T10:38:40,20241098,20241098,1133,6,"[""https://carsales.pxcrush.net/carsales/car/dealer/2lsim34ub2jlbqnml961i524n.jpg?pxc_format=jpeg&pxc_size=1200%2C630""]",1,6ZZRMXPH170003909,Check with seller,Hatch,Hybrid,Automatic,1098,MXPH17-0003909,100.0,stock_tail4_match:1098,identified,0,,
2023 Toyota Yaris X Hybrid Auto eFour,"$24,900",24900,"62,000km",62000,https://www.carsales.com.au/cars/details/2023-toyota-yaris-x-hybrid-auto-efour/OAG-AD-25780109/,OAG-AD-25780109,OAG-AD-25780109,2023,TOYOTA,YARIS,,2026-05-01T10:38:40,,https://carsales.pxcrush.net/carsales/car/dealer/8cjvhq6sd9cxaakuz3cgd5oax.jpg?pxc_format=jpeg&pxc_size=1200%2C630,2023 Toyota Yaris X Hybrid Auto eFour,stock_tail4_match:1091,,2026-05-01T10:38:40,20231091,20231091,1346,5,"[""https://carsales.pxcrush.net/carsales/car/dealer/8cjvhq6sd9cxaakuz3cgd5oax.jpg?pxc_format=jpeg&pxc_size=1200%2C630""]",1,6ZZPMXPH150025176,Check with seller,Hatch,Hybrid,Automatic,1091,MXPH15-0025176,100.0,stock_tail4_match:1091,identified,0,,
2022 Toyota Raize Auto,"$27,900",27900,"48,000km",48000,https://www.carsales.com.au/cars/details/2022-toyota-raize-auto/OAG-AD-25709540/,OAG-AD-25709540,OAG-AD-25709540,2022,TOYOTA,Raize,,2026-05-01T10:38:40,,https://carsales.pxcrush.net/carsales/car/dealer/9qy2uxpks0lssni5kkwlegz8o.jpg?pxc_format=jpeg&pxc_size=1200%2C630,2022 Toyota Raize Auto,stock_tail4_match:1069,,2026-05-01T10:38:40,20221069,20221069,1328,24,"[""https://carsales.pxcrush.net/carsales/car/dealer/9qy2uxpks0lssni5kkwlegz8o.jpg?pxc_format=jpeg&pxc_size=1200%2C630""]",1,6ZZN0A202A0044734,Check with seller,Wagon,Hybrid,Automatic,1069,A202A-0044734,100.0,stock_tail4_match:1069,identified,1,odometer,"Odometer mismatch: Carsales 48,000km vs Carbarn 48,749km"
2022 Toyota Raize Auto,"$29,400",29400,"27,782km",27782,https://www.carsales.com.au/cars/details/2022-toyota-raize-auto/OAG-AD-25754029/,OAG-AD-25754029,OAG-AD-25754029,2022,TOYOTA,Raize,,2026-05-01T10:38:40,,https://carsales.pxcrush.net/carsales/car/dealer/910l8w5z13zmtubvtemdg3kqm.jpg?pxc_format=jpeg&pxc_size=1200%2C630,2022 Toyota Raize Auto,stock_tail4_match:1068,,2026-05-01T10:38:40,20221068,20221068,1268,30,"[""https://carsales.pxcrush.net/carsales/car/dealer/910l8w5z13zmtubvtemdg3kqm.jpg?pxc_format=jpeg&pxc_size=1200%2C630""]",1,6ZZN0A202A0047296,Check with seller,Wagon,Hybrid,Automatic,1068,A202A-0047296,100.0,stock_tail4_match:1068,identified,0,,
2024 Toyota Corolla Hybrid G Auto AWD,"$31,900",31900,"14,000km",14000,https://www.carsales.com.au/cars/details/2024-toyota-corolla-hybrid-g-auto-awd/OAG-AD-25780108/,OAG-AD-25780108,OAG-AD-25780108,2024,TOYOTA,Corolla,,2026-05-01T10:38:40,,https://carsales.pxcrush.net/carsales/car/dealer/b82hz7u2g4hs02rva9pwfexu5.jpg?pxc_format=jpeg&pxc_size=1200%2C630,2024 Toyota Corolla Hybrid G Auto AWD,stock_tail4_match:1075,,2026-05-01T10:38:40,20241075,20241075,1347,4,"[""https://carsales.pxcrush.net/carsales/car/dealer/b82hz7u2g4hs02rva9pwfexu5.jpg?pxc_format=jpeg&pxc_size=1200%2C630""]",1,6ZZRZWE2150024058,Check with seller,Sedan,Hybrid,Automatic,1075,ZWE215-0024058,100.0,stock_tail4_match:1075,identified,0,,
